Platform,Gas,Analyzer,Part No.,Description,Information,ListPrice
LaserGas II Single Path,CO2,108383 LaserGas II CO2 ppm SP ATEX/IECEx Ex-n,108383,LaserGas II CO2 ppm SP ATEX/IECEx Ex-n,ATEX/IECEx Zone 2,297000
LaserGas II Single Path,CO2,108384 LaserGas II CO2 ppm SP ATEX/IECEx Ex-p,108384,LaserGas II CO2 ppm SP ATEX/IECEx Ex-p,ATEX/IECEx Zone 1,301400
LaserGas II Single Path,CO2,108385 LaserGas II CO2 ppm SP CSA GP,108385,LaserGas II CO2 ppm SP CSA GP,General purpose non-hazloc,287100
LaserGas II Single Path,CO2,108386 LaserGas II CO2 ppm SP CSA Class I Div2,108386,LaserGas II CO2 ppm SP CSA Class I Div2,Class I/Div 2,297000
LaserGas II Single Path,CO2,108852 LaserGas II CO2 ppm SP HT,108852,LaserGas II CO2 ppm SP HT,High temp appl. (T>700 °C),319000
LaserGas II Single Path,CO2,108853 LaserGas II CO2 ppm SP HT ATEX/IECEx Ex-n,108853,LaserGas II CO2 ppm SP HT ATEX/IECEx Ex-n,"High temp appl. (T>700 °C), ATEX/IECEx Zone 2",333300
LaserGas II Single Path,CO2,108854 LaserGas II CO2 ppm SP HT ATEX/IECEx Ex-p,108854,LaserGas II CO2 ppm SP HT ATEX/IECEx Ex-p,"High temp appl. (T>700 °C), ATEX/IECEx Zone 1",336600
LaserGas II Single Path,CO2,106795 LaserGas II CO2 ppm + H2O SP HT,106795,LaserGas II CO2 ppm + H2O SP HT,High temp appl. (T>700 °C),354200
LaserGas II Single Path,CO2,108376 LaserGas II CO2 ppm + H2O SP HT ATEX/IECEx Ex-n,108376,LaserGas II CO2 ppm + H2O SP HT ATEX/IECEx Ex-n,"High temp appl. (T>700 °C), ATEX/IECEx Zone 2",368500
LaserGas II Single Path,CO2,108377 LaserGas II CO2 ppm + H2O SP HT ATEX/IECEx Ex-p,108377,LaserGas II CO2 ppm + H2O SP HT ATEX/IECEx Ex-p,"High temp appl. (T>700 °C), ATEX/IECEx Zone 1",372900
LaserGas II Single Path,CO2,108378 LaserGas II CO2 ppm + H2O SP HT GP,108378,LaserGas II CO2 ppm + H2O SP HT GP,"High temp appl. (T>700 °C), General purpose non-hazloc",358600
LaserGas II Single Path,CO2,108379 LaserGas II CO2 ppm + H2O SP HT CSA Class I Div2,108379,LaserGas II CO2 ppm + H2O SP HT CSA Class I Div2,"High temp appl. (T>700 °C), Class I/Div 2",368500
LaserGas II Single Path,H2O,100986 LaserGas II H2O % SP,100986,LaserGas II H2O % SP,,229900
LaserGas II Single Path,H2O,107450 LaserGas II H2O % SP ATEX/IECEx Ex-n,107450,LaserGas II H2O % SP ATEX/IECEx Ex-n,ATEX/IECEx Zone 2,244200
LaserGas II Single Path,H2O,107449 LaserGas II H2O % SP ATEX/IECEx Ex-p,107449,LaserGas II H2O % SP ATEX/IECEx Ex-p, ATEX/IECEx Zone 1,247500
LaserGas II Single Path,H2O,108449 LaserGas II H2O % SP CSA GP,108449,LaserGas II H2O % SP CSA GP, General purpose non-hazloc,234300
LaserGas II Single Path,H2O,108450 LaserGas II H2O % SP CSA Class I Div2,108450,LaserGas II H2O % SP CSA Class I Div2, Class I/Div 2,244200
LaserGas II Single Path,H2O,108844 LaserGas II H2O % SP HT,108844,LaserGas II H2O % SP HT,,265100
LaserGas II Single Path,H2O,108970 LaserGas II H2O % SP TÜV,108970,LaserGas II H2O % SP TÜV," Also available as Ex-n/Ex-p, contact NEO Monitors",305800
LaserGas II Single Path,H2S,100969 LaserGas II H2S SP,100969,LaserGas II H2S SP,,251900
LaserGas II Single Path,H2S,106393 LaserGas II H2S SP ATEX/IECEx Ex-n,106393,LaserGas II H2S SP ATEX/IECEx Ex-n,ATEX/IECEx Zone 2,266200
LaserGas II Single Path,H2S,106392 LaserGas II H2S SP ATEX/IECEx Ex-p,106392,LaserGas II H2S SP ATEX/IECEx Ex-p,ATEX/IECEx Zone 1,270600
LaserGas II Single Path,H2S,108372 LaserGas II H2S SP CSA GP,108372,LaserGas II H2S SP CSA GP,General purpose non-hazloc,256300
LaserGas II Single Path,H2S,107440 LaserGas II H2S SP CSA Class I div 2,107440,LaserGas II H2S SP CSA Class I div 2,Class I/Div 2,266200
LaserGas II Single Path,H2S,109912 LaserGas II H2S COG SP ATEX/IECEx Ex-n,109912,LaserGas II H2S COG SP ATEX/IECEx Ex-n,ATEX/IECEx Zone 2 - Coke Oven Gas (COG) appl.,269500
LaserGas II Single Path,H2S,109911 LaserGas II H2S COG SP ATEX/IECEx Ex-p,109911,LaserGas II H2S COG SP ATEX/IECEx Ex-p,ATEX/IECEx Zone 1 - Coke Overn Gas (COG) appl.,273900
LaserGas II Single Path,HCl,100978 LaserGas II HCl SP,100978,LaserGas II HCl SP,,288200
LaserGas II Single Path,HCl,106254 LaserGas II HCl SP ATEX/IECEx Ex-n,106254,LaserGas II HCl SP ATEX/IECEx Ex-n,ATEX/IECEx Zone 2,302500
LaserGas II Single Path,HCl,106253 LaserGas II HCl SP ATEX/IECEx Ex-p,106253,LaserGas II HCl SP ATEX/IECEx Ex-p,ATEX/IECEx Zone 1,306900
LaserGas II Single Path,HCl,108429 LaserGas II HCl SP CSA GP,108429,LaserGas II HCl SP CSA GP,General purpose non-hazloc,292600
LaserGas II Single Path,HCl,108430 LaserGas II HCl SP CSA Class I Div 2,108430,LaserGas II HCl SP CSA Class I Div 2,Class I/Div 2,302500
LaserGas II Single Path,HCl,106435 LaserGas II HCl SP TÜV/MCERTS,106435,LaserGas II HCl SP TÜV/MCERTS,"ATEX/IECEx Zone 2 (Also availble as Ex-p, Contact NEO Monitors)",305800
LaserGas II Single Path,HCl,106034 LaserGas II HCl + H2O SP,106034,LaserGas II HCl + H2O SP,,328900
LaserGas II Single Path,HCl,108431 LaserGas II HCl + H2O SP ATEX/IECEx Ex-n,108431,LaserGas II HCl + H2O SP ATEX/IECEx Ex-n,ATEX/IECEx Zone 2,343200
LaserGas II Single Path,HCl,108432 LaserGas II HCl + H2O SP ATEX/IECEx Ex-p,108432,LaserGas II HCl + H2O SP ATEX/IECEx Ex-p,ATEX/IECEx Zone 1,346500
LaserGas II Single Path,HCl,108433 LaserGas II HCl + H2O SP CSA GP,108433,LaserGas II HCl + H2O SP CSA GP,General purpose non-hazloc,332200
LaserGas II Single Path,HCl,108434 LaserGas II HCl + H2O SP CSA Class I Div 2,108434,LaserGas II HCl + H2O SP CSA Class I Div 2,Class I/Div 2,343200
LaserGas II Single Path,HCl,107610 LaserGas II HCl + H2O SP TÜV/MCERTS,107610,LaserGas II HCl + H2O SP TÜV/MCERTS,,345400
LaserGas II Single Path,HCl,107250 LaserGas II HCl + H2O SP ATEX Ex-n TÜV/MCERTS,107250,LaserGas II HCl + H2O SP ATEX Ex-n TÜV/MCERTS,"ATEX/IECEx Zone 2 (Also availble as Ex-p, Contact NEO Monitors)",359700
LaserGas II Single Path,HF,100979 LaserGas II HF SP,100979,LaserGas II HF SP,,271700
LaserGas II Single Path,HF,107350 LaserGas II HF SP ATEX/IECEx Ex-n,107350,LaserGas II HF SP ATEX/IECEx Ex-n,ATEX/IECEx Zone 2,286000
LaserGas II Single Path,HF,101472 LaserGas II HF SP ATEX/IECEx Ex-p,101472,LaserGas II HF SP ATEX/IECEx Ex-p,ATEX/IECEx Zone 1,289300
